trip_ref,legacy_trip_id,legacy_day_id,day_index,date_when,legacy_index
legacy_trip_609,609,4040,0,2027-01-30,0
legacy_trip_609,609,4039,1,2027-01-31,1
legacy_trip_609,609,4038,2,2027-02-01,2
legacy_trip_609,609,4037,3,2027-02-02,3
legacy_trip_609,609,4036,4,2027-02-03,4
legacy_trip_609,609,4035,5,2027-02-04,5
legacy_trip_609,609,4034,6,2027-02-05,6
legacy_trip_609,609,4033,7,2027-02-06,7
legacy_trip_610,610,4041,0,2026-04-19,0
legacy_trip_610,610,4042,1,2026-04-20,1
legacy_trip_610,610,4043,2,2026-04-21,2
legacy_trip_610,610,4044,3,2026-04-22,3
legacy_trip_610,610,4045,4,2026-04-23,4
legacy_trip_610,610,4046,5,2026-04-24,5
legacy_trip_610,610,4047,6,2026-04-25,6
legacy_trip_610,610,4048,7,2026-04-26,7
